Video_ID,Absence or Avoidance of Eye Contact,Aggressive Behavior,Hyper- or Hyporeactivity to Sensory Input,Non-Responsiveness to Verbal Interaction,Non-Typical Language,Object Lining-Up,Self-Hitting or Self-Injurious Behavior,Self-Spinning or Spinning Objects,Upper Limb Stereotypies,Background
_gEps3r7FfQ_50_53,0,0,0,0,0,0,0,1,0,0
_gEps3r7FfQ_56_60,0,0,1,0,0,0,0,1,0,0
_M8YkVVb5dg_0_16,0,0,0,0,0,0,0,0,1,0
_ozb-jyjHx8_0_61,0,0,0,0,0,0,0,1,0,0
_yzU7MU2wIE_0_40,0,0,0,1,0,0,0,0,1,0
-9aliPAniig_4_8,1,0,1,1,0,0,0,0,0,0
-9aliPAniig_631_637,1,0,0,0,0,0,0,1,0,0
-9aliPAniig_66_71,0,0,0,1,0,0,0,1,0,0
-Ed38H71XO8_28_39,0,1,0,0,0,0,0,0,0,0
-hSduu8zDzI_0_11,0,0,1,0,0,0,0,1,0,0
-IVN2XJ4YT8_0_11,0,0,0,0,0,0,0,0,1,0
-vXwNRCOzZM_214_220,0,1,0,0,0,0,0,0,0,0
-vXwNRCOzZM_98_108,0,1,0,0,0,0,0,0,0,0
-YJhyNoHuUw_0_24,0,0,1,0,0,0,0,1,0,0
02mvgUiO-eU_16_22,0,0,0,0,0,0,0,0,1,0
04URF8dos-E_180_189,1,0,0,1,0,0,0,1,0,0
0EZ8D5VS1wE_17_23,0,0,0,0,0,0,1,0,0,0
0EZ8D5VS1wE_4_8,0,0,0,0,0,0,1,0,0,0
0g51c2BCqu8_0_166,0,0,1,0,0,0,0,0,1,0
0norlGs7rUw_0_79,0,1,1,0,0,0,1,0,0,0
0xjEvdxrVe0_25_30,0,1,1,0,0,0,1,0,0,0
0xjEvdxrVe0_9_11,0,1,0,0,0,0,1,0,0,0
10156951176041132_6_13,0,0,1,0,0,0,0,0,0,0
1058358794819229_0_7,1,0,1,1,0,0,0,0,0,0
1058358794819229_24_27,0,0,1,0,0,0,0,0,0,0
1137764799695838_3_10,0,0,1,0,0,0,0,0,0,0
1999224280467888_83_90,0,0,1,0,1,0,0,0,0,0
1PAXSwE85tk_898_914,0,1,0,0,0,0,1,0,0,0
1Pmhmw7hOIE_22_38,0,0,0,0,0,0,0,0,0,1
1vRklwIBC28_175_190,0,0,1,0,0,0,0,0,1,0
1xiRdgrQiV8_11_17,1,0,0,1,0,1,0,0,0,0
1xiRdgrQiV8_39_45,0,0,0,0,0,0,0,1,0,0
1xiRdgrQiV8_51_59,0,0,0,0,0,0,1,0,0,0
1ZWHa-7cUt0_462_471,0,0,1,0,0,0,0,0,0,0
226D3-KzIQQ_152_162,0,1,0,0,1,0,0,0,0,0
226D3-KzIQQ_170_180,0,1,0,0,0,0,0,0,0,0
2364531100353534_249_262,0,0,1,0,0,0,0,0,0,0
2AS14wxMB-A_6_18,0,0,0,0,0,0,0,1,0,0
2p5-RhuV5mc_102_108,1,0,0,0,0,0,0,0,0,0
2p5-RhuV5mc_40_44,1,0,1,0,0,0,0,0,0,0
2TpC6CB0iXw_39_43,0,1,0,0,0,0,1,0,1,0
2TpC6CB0iXw_549_668,1,1,1,1,0,0,1,0,0,0
2u3yPdtTT8M_136_139,0,0,0,0,0,0,0,0,1,0
2uf_A92mqtA_0_12,0,0,1,0,0,0,0,1,0,0
327182825893700_373_384,0,0,1,0,0,0,0,0,0,0
398241735282457_518_532,0,0,1,0,0,0,0,0,0,0
3BQvkkTN3Sk_184_206,0,0,0,0,0,0,0,0,1,0
3BQvkkTN3Sk_243_257,0,0,0,0,0,1,0,0,0,0
3BQvkkTN3Sk_258_283,0,0,0,0,0,1,0,0,0,0
3BQvkkTN3Sk_284_298,0,0,0,0,0,1,0,0,0,0
3BQvkkTN3Sk_299_324,0,0,0,0,0,1,0,0,0,0
3BQvkkTN3Sk_44_62,0,0,0,1,0,0,0,0,0,0
3BQvkkTN3Sk_76_113,0,0,1,0,1,0,0,1,0,0
3Colcv5Xlc0_0_4,0,0,0,0,0,0,0,0,1,0
3Colcv5Xlc0_31_33,0,0,0,0,0,0,0,0,1,0
3Colcv5Xlc0_37_39,0,0,0,0,0,0,0,0,1,0
3dS8AVXFRGY_683_691,0,0,0,0,0,0,0,1,0,0
3Oh_Lmehb6c_40_50,0,0,0,0,0,0,0,0,1,0
3qpDevA8CyQ_188_195,0,0,1,0,1,0,1,0,0,0
3qpDevA8CyQ_20_29,0,0,1,1,1,0,0,0,0,0
3qpDevA8CyQ_32_38,1,0,1,0,1,0,0,0,0,0
3qpDevA8CyQ_8_13,1,0,1,1,0,0,0,0,0,0
437087214581620_163_172,0,0,1,0,0,0,0,0,0,0
437087214581620_183_189,0,0,1,0,0,0,0,0,0,0
441244708182765_0_5,0,0,1,0,0,0,0,0,0,0
441244708182765_153_155,0,0,1,0,0,0,0,0,0,0
4FQLwnIQ9Qg_148_230,0,0,0,0,0,0,0,0,1,0
4hUkp6nDE-8_0_40,0,0,0,0,1,1,0,0,0,0
4iuKwfOH5J4_0_9,1,0,0,0,0,0,0,0,0,0
4O15LL72j0M_2_7,0,0,0,0,0,0,0,0,1,0
4oBn6WYyI9U_130_180,0,0,0,0,1,1,0,0,0,0
4p9XrwKJkxc_0_15,1,0,0,0,0,0,0,0,1,0
512183587448704_28_32,0,0,0,0,0,0,0,0,0,1
5268318256627570_17_34,0,0,1,0,0,0,0,0,0,0
571621468269110_24_38,0,0,1,0,0,0,0,0,0,0
575016171346595_4_10,0,0,1,0,0,0,0,0,0,0
5ip_N6zzhwg_0_40,0,0,0,0,0,0,1,0,0,0
5MS6VZwZDi0_2_59,0,0,1,0,0,0,0,1,1,0
5Ps9iE8mPqY_18_22,1,0,0,0,0,0,0,0,1,0
5QRhrgYGPF4_0_45,0,0,0,0,0,0,0,1,0,0
5sgfS0SSh8o_32_46,0,0,0,0,0,0,0,0,1,0
616281000209155_0_6,0,0,1,0,0,0,0,0,1,0
624604982863406_0_6,0,0,1,0,0,0,0,0,1,0
68-hRQY4eek_0_96,1,0,1,1,0,0,0,1,0,0
6bPSthjAU4c_0_24,0,0,1,0,0,0,0,1,1,0
6eS2CBMSZ4E_250_260,1,0,1,1,0,0,0,0,0,0
6eS2CBMSZ4E_260_270,1,0,1,1,0,0,0,0,0,0
6eS2CBMSZ4E_287_292,1,0,0,0,0,0,0,0,0,0
6eS2CBMSZ4E_76_80,0,0,0,0,0,0,0,0,1,0
6HWDrRiKoSQ_176_182,1,0,0,1,0,0,0,0,0,0
6KD5MUj5Akw_135_141,1,0,0,1,0,0,0,0,1,0
6KD5MUj5Akw_335_346,1,0,0,1,1,0,0,0,1,0
6KD5MUj5Akw_785_788,1,1,0,1,1,0,0,0,1,0
6qCRoqnOIq0_0_7,0,0,1,0,0,0,1,0,0,0
6qCRoqnOIq0_15_22,0,0,1,0,0,0,1,0,0,0
